Accuracy,DNN architecture
CP8_SS32_DL0.4_E50,0.744
CP16_SS32_DL0.5_E25,0.731
CP8_SS32_DL0.5_E47,0.729
CP16_SS32_DL0.4_E28,0.714
CP8_SS16_DL0.5_E50,0.652
CP8_SS16_DL0.4_E42,0.651
CP16_SS16_DL0.5_E50,0.648
CP16_SS16_DL0.4_E50,0.637
CP8_E20,0.63
CP16_E20,0.626
