Accuracy,DNN architecture
CP8_SS64_DL0.6_E46,0.605
CP16_SS64_DL0.6_E32,0.599
CP32_SS64_DL0.5_E31,0.591
CP32_SS64_DL0.6_E32,0.584
CP8_SS64_DL0.5_E41,0.576
CP16_SS64_DL0.5_E27,0.567
CP8_SS32_DL0.5_E50,0.511
CP32_SS32_DL0.5_E35,0.509
CP8_SS32_DL0.6_E50,0.505
CP32_SS32_DL0.6_E38,0.499
CP16_SS32_DL0.5_E32,0.489
CP16_SS32_DL0.6_E48,0.489
