Accuracy,DNN architecture,Forced Acc.
BLSTM_CP32_x5_FBN_SS64_DL0.8_V2_E36,0.631,0.833
BLSTM_CP32_x5_FBN_SS64_DL0.8_V2_E40,0.69,0.817
