Accuracy,DNN architecture
ResBLSTM_C32_15_1024_FBN_SS64_DL0.8_V3_E21,0.55
ResBLSTM_C32_20_1024_FBN_SS64_DL0.8_V3_E15,0.512
ResBLSTM_C32_7_1024_FBN_SS64_DL0.8_V3_E30,0.501
