Accuracy,DNN architecture,Forced Acc.
BLSTM_CP8_FBN_SS32_DL0.8_E44,0.451,0.726
BLSTM_CP8_FBN_SS32_DL0.8_E39,0.457,0.718
BLSTM_CP8_FBN_SS32_DL0.8_E36,0.408,0.696
BLSTM_CP32_FBN_SS32_DL0.8_E22,0.364,0.668
