Accuracy,DNN architecture,Forced Acc.
ResBLSTM_C64_10_1024_FBN_SS64_DL0.8_V2_E18,0.536,0.804
ResBLSTM_C64_10_1024_FBN_SS64_DL0.8_V2_E14,0.533,0.764
