Accuracy,DNN architecture
CP32_FBN_SS64_DL0.9_E25,0.492
CP8_FBN_SS64_DL0.9_E35,0.482
CP8_FBN_SS64_DL0.5_E28,0.472
CP16_FBN_SS64_DL0.7_E31,0.433
CP32_FBN_SS64_DL0.7_E23,0.425
CP8_FBN_SS64_DL0.7_E28,0.413
CP32_FBN_SS64_DL0.8_E24,0.402
CP16_FBN_SS64_DL0.4_E27,0.378
CP32_FBN_SS64_DL0.5_E21,0.377
CP8_FBN_SS64_DL0.4_E30,0.372
CP16_FBN_SS64_DL0.5_E24,0.337
CP32_FBN_SS64_DL0.4_E21,0.272
CP8_FBN_SS64_DL0.8_E42,0.211
