Accuracy,DNN architecture
CP8_DND128_relu_32_DO0.4_E40,0.313
CP8_DND256_relu_64_DO0.5_E40,0.298
CP8_DND128_relu_32_DO0.5_E5,0.287
CP16_DND64_relu_16_DO0.4_E17,0.282
CP8_DND128_relu_32_DO0.6_E10,0.272
CP8_DND64_relu_16_DO0.4_E5,0.271
CP8_DND64_relu_16_DO0.6_E14,0.252
CP8_DND256_relu_64_DO0.4_E4,0.027
